repetition,host,arch,system,name,nthreads,nb_ops,latency
2,eliza,aarch64,btree,YCSB-B,1,10000000,759.6025345759999
3,eliza,aarch64,linklist,YCSB-A,1,25000,1895405.6258276
2,eliza,mte,linklist,YCSB-B,1,25000,2435581.6290976
1,eliza,aarch64,linklist,update,1,25000,2035489.23
2,eliza,aarch64,linklist,insert,1,1000000,2760.15
3,eliza,aarch64,CLHT,insert,64,50000000,15910.34
1,eliza,aarch64,btree,insert,1,10000000,1068.88
0,eliza,mte,btree,update,1,10000000,1240.99
4,eliza,aarch64,CLHT,insert,16,50000000,3496.09
1,eliza,aarch64,CLHT,YCSB-C,192,60000000,75310.33
3,eliza,aarch64,btree,YCSB-D,1,10000000,677.402848211
2,eliza,aarch64,ART,insert,1,1000000,3637.93
1,eliza,aarch64,CLHT,YCSB-C,16,50000000,267.39
2,eliza,mte,skiplist,YCSB-E,1,1000000,5708.3981293100005
4,eliza,mte,linklist,scan,1,10000,1194814.19
0,eliza,aarch64,CLHT,read,16,50000000,334.71
0,eliza,mte,queue,queue_bench,16,50000000,896.262
0,eliza,mte,queue,queue_bench,192,5000000,7734.260
2,eliza,aarch64,linklist,YCSB-E,1,25000,1703523.1760336002
0,eliza,mte,skiplist,YCSB-E,1,1000000,5642.1624001599985
4,eliza,aarch64,ART,YCSB-C,1,3000000,1221.16
1,eliza,mte,ART,YCSB-E,1,300000,41241.32045283334
1,eliza,aarch64,linklist,YCSB-E,1,25000,1703102.5475452
2,eliza,aarch64,CLHT,insert,64,50000000,16990.54
