repetition,host,arch,system,name,nthreads,nb_ops,latency
0,eliza,mte,skiplist,YCSB-C,1,3000000,3112.82
1,eliza,aarch64,CLHT,YCSB-C,64,50000000,272.83
4,eliza,mte,skiplist,read,1,3000000,3619.43
4,eliza,mte,CLHT,YCSB-C,16,50000000,281.38
2,eliza,mte,btree,insert,1,10000000,1272.2
2,eliza,mte,linklist,YCSB-F,1,10000,976680.6465320807
3,eliza,aarch64,skiplist,YCSB-D,1,3000000,2974.64859884
1,eliza,aarch64,queue,queue_bench,192,5000000,7610.680
2,eliza,mte,queue,queue_bench,64,10000000,3485.520
3,eliza,aarch64,linklist,scan,1,10000,730860.03
4,eliza,aarch64,queue,queue_bench,192,5000000,8262.580
2,eliza,aarch64,linklist,scan,1,10000,731173.37
1,eliza,aarch64,linklist,YCSB-A,1,25000,1893437.8713968
0,eliza,mte,skiplist,read,1,3000000,3603.8
1,eliza,mte,linklist,YCSB-B,1,25000,2433918.0357976
1,eliza,aarch64,linklist,YCSB-F,1,10000,722192.4264882228
1,eliza,aarch64,queue,queue_bench,64,10000000,3148.270
2,eliza,aarch64,CLHT,read,64,50000000,297.57
2,eliza,aarch64,btree,YCSB-D,1,10000000,678.2708111
2,eliza,aarch64,CLHT,insert,16,50000000,3447.5
4,eliza,aarch64,linklist,YCSB-A,1,25000,1950823.0022204001
0,eliza,aarch64,btree,YCSB-E,1,10000000,790.570638128
0,eliza,aarch64,ART,YCSB-C,1,3000000,1217.05
1,eliza,mte,CLHT,YCSB-C,1,5000000,237.17
2,eliza,mte,linklist,YCSB-D,1,10000,1875526.2480190003
3,eliza,mte,linklist,YCSB-F,1,10000,949627.3194137241
3,eliza,mte,queue,queue_bench,1,100000000,344.790
4,eliza,aarch64,btree,YCSB-E,1,10000000,789.474766639
1,eliza,aarch64,btree,YCSB-D,1,10000000,676.00155615
2,eliza,mte,CLHT,YCSB-C,16,50000000,279.71
2,eliza,aarch64,btree,scan,1,10000000,942.96
4,eliza,aarch64,linklist,update,1,25000,2044800.21
1,eliza,mte,linklist,YCSB-D,1,10000,1671581.3802280002
0,eliza,mte,ART,YCSB-D,1,3000000,1283.00625127
1,eliza,mte,btree,read,1,10000000,980.95
3,eliza,mte,skiplist,scan,1,1000000,38771.05
4,eliza,aarch64,linklist,read,1,25000,1647445.44
0,eliza,mte,queue,queue_bench,1,100000000,334.303
1,eliza,aarch64,CLHT,insert,64,50000000,17253.64
2,eliza,aarch64,skiplist,YCSB-D,1,3000000,2958.9238902
0,eliza,mte,CLHT,YCSB-C,16,50000000,280.12
1,eliza,mte,ART,scan,1,100000,324920.83
4,eliza,aarch64,CLHT,YCSB-C,192,60000000,74263.25
1,eliza,aarch64,ART,read,1,3000000,1554.08
1,eliza,aarch64,skiplist,scan,1,1000000,38582.25
4,eliza,mte,btree,YCSB-A,1,10000000,939.728092927
1,eliza,mte,skiplist,YCSB-D,1,3000000,3023.6330685733333
3,eliza,aarch64,CLHT,read,16,50000000,326.75
3,eliza,mte,CLHT,YCSB-C,64,50000000,293.17
2,eliza,aarch64,linklist,YCSB-D,1,10000,1188114.389984
0,eliza,aarch64,queue,queue_bench,192,5000000,8727.080
4,eliza,aarch64,linklist,insert,1,1000000,2671.72
3,eliza,mte,btree,YCSB-C,1,10000000,793.97
4,eliza,aarch64,btree,insert,1,10000000,1061.77
3,eliza,aarch64,CLHT,YCSB-C,64,50000000,277.31
1,eliza,aarch64,btree,YCSB-E,1,10000000,789.3844196719999
3,eliza,aarch64,queue,queue_bench,16,50000000,1098.064
3,eliza,aarch64,CLHT,read,64,50000000,305.57
0,eliza,aarch64,CLHT,insert,64,50000000,17217.19
1,eliza,mte,btree,insert,1,10000000,1271.29
1,eliza,aarch64,btree,update,1,10000000,1128.9
0,eliza,mte,queue,queue_bench,64,10000000,3148.420
2,eliza,mte,btree,YCSB-A,1,10000000,927.0043756
0,eliza,aarch64,linklist,read,1,25000,1743058.51
0,eliza,aarch64,CLHT,YCSB-C,16,50000000,268.12
1,eliza,mte,queue,queue_bench,1,100000000,312.709
3,eliza,aarch64,ART,YCSB-C,1,3000000,1224.38
0,eliza,aarch64,ART,YCSB-E,1,300000,33434.550514400005
0,eliza,mte,ART,insert,1,1000000,4872.52
2,eliza,mte,CLHT,insert,1,3000000,4055.17
3,eliza,mte,CLHT,read,16,50000000,343.28
3,eliza,aarch64,skiplist,scan,1,1000000,38926.05
2,eliza,aarch64,CLHT,YCSB-C,1,5000000,225.35
4,eliza,aarch64,btree,YCSB-A,1,10000000,853.43128225
4,eliza,aarch64,CLHT,YCSB-C,64,50000000,274.09
