repetition,host,arch,system,name,nthreads,nb_ops,latency
2,ace,cheri,linklist,YCSB-C,1,25000,3480750.83
0,ace,aarch64,skiplist,read,1,3000000,5009.28
2,ace,aarch64,linklist,YCSB-E,1,25000,2618814.5098896
1,ace,aarch64,queue,queue_bench,1,100000000,181.504
2,ace,aarch64,btree,update,1,10000000,1489.42
4,ace,cheri,linklist,insert,1,5000000,14223.24
2,ace,aarch64,btree,YCSB-A,1,8000000,1221.473053955
3,ace,aarch64,btree,YCSB-B,1,8000000,1152.8531455000002
2,ace,aarch64,CLHT,insert,1,1000000,13904.35
1,ace,aarch64,ART,scan,1,60000,274660.21
1,ace,cheri,skiplist,insert,1,1000000,23962.17
1,ace,aarch64,linklist,scan,1,10000,1108700.33
0,ace,cheri,btree,insert,1,6000000,1934.19
4,ace,cheri,btree,YCSB-A,1,8000000,1556.85226804875
0,ace,cheri,skiplist,YCSB-E,1,5000000,15719.437617504002
4,ace,cheri,queue,queue_bench,1,100000000,1736.500
4,ace,cheri,ART,YCSB-E,1,400000,56791.813990200004
3,ace,cheri,CLHT,YCSB-C,4,1000000,326.67
3,ace,aarch64,CLHT,YCSB-C,4,1000000,216.7
3,ace,aarch64,btree,scan,1,8000000,1309.92
0,ace,aarch64,btree,YCSB-D,1,8000000,1082.11784149
0,ace,aarch64,ART,insert,1,1000000,7450.02
4,ace,cheri,btree,update,1,10000000,1983.26
1,ace,cheri,linklist,scan,1,10000,1468914.91
3,ace,aarch64,btree,insert,1,6000000,1527.17
0,ace,cheri,linklist,scan,1,10000,1511577.01
3,ace,cheri,linklist,YCSB-F,1,10000,2685672.0444984254
4,ace,aarch64,ART,insert,1,1000000,7446.61
1,ace,cheri,linklist,insert,1,5000000,14246.2
3,ace,cheri,btree,update,1,10000000,1985.25
4,ace,cheri,ART,scan,1,60000,372910.93
4,ace,cheri,linklist,YCSB-C,1,25000,3419220.84
1,ace,aarch64,linklist,YCSB-F,1,10000,1696663.3768409817
2,ace,cheri,linklist,YCSB-A,1,10000,2662499.582484
2,ace,aarch64,btree,insert,1,6000000,1530.05
2,ace,cheri,btree,insert,1,6000000,1928.57
4,ace,cheri,btree,YCSB-E,1,8000000,1408.4496859625
4,ace,cheri,skiplist,scan,1,1000000,60956.07
4,ace,cheri,btree,scan,1,8000000,1495.01
3,ace,cheri,ART,YCSB-C,1,6000000,1871.65
3,ace,aarch64,queue,queue_bench,1,100000000,181.545
0,ace,cheri,btree,scan,1,8000000,1501.98
0,ace,cheri,CLHT,read,4,5000000,342.11
2,ace,aarch64,linklist,update,1,12500,2278006.18
1,ace,cheri,CLHT,YCSB-C,1,5000000,322.16
2,ace,aarch64,btree,scan,1,8000000,1309.09
0,ace,cheri,CLHT,insert,1,1000000,25373.22
3,ace,aarch64,btree,YCSB-C,1,8000000,1142.6
4,ace,cheri,CLHT,insert,4,1000000,153156.41
3,ace,aarch64,queue,queue_bench,4,100000000,427.814
0,ace,cheri,ART,YCSB-D,1,5000000,2949.090859508
4,ace,cheri,CLHT,read,1,5000000,351.97
4,ace,aarch64,btree,insert,1,6000000,1520.65
4,ace,cheri,btree,YCSB-C,1,8000000,1308.66
4,ace,aarch64,CLHT,YCSB-C,1,10000000,213.71
2,ace,cheri,btree,YCSB-E,1,8000000,1404.0310124599998
3,ace,aarch64,linklist,insert,1,5000000,5695.28
4,ace,cheri,queue,queue_bench,4,100000000,1074.280
3,ace,cheri,CLHT,YCSB-C,1,5000000,321.87
1,ace,cheri,linklist,YCSB-C,1,25000,3422721.61
4,ace,aarch64,ART,read,1,6000000,1828.86
4,ace,cheri,btree,read,1,8000000,1461.09
1,ace,cheri,btree,read,1,8000000,1462.26
3,ace,cheri,btree,YCSB-B,1,8000000,1336.9561681349996
3,ace,cheri,ART,YCSB-D,1,5000000,2942.551031264
4,ace,aarch64,linklist,update,1,12500,2288707.26
3,ace,aarch64,linklist,YCSB-D,1,25000,4654215.223227999
2,ace,cheri,ART,YCSB-E,1,400000,56765.17120820001
4,ace,cheri,btree,YCSB-D,1,8000000,1257.0206213287502
3,ace,cheri,btree,YCSB-E,1,8000000,1403.94974695
3,ace,cheri,skiplist,read,1,3000000,7804.29
1,ace,aarch64,btree,YCSB-B,1,8000000,1152.6734682525
2,ace,aarch64,skiplist,YCSB-C,1,5000000,4991.72
1,ace,cheri,skiplist,YCSB-C,1,5000000,7765.65
4,ace,cheri,btree,YCSB-B,1,8000000,1335.19789187875
4,ace,cheri,linklist,YCSB-D,1,25000,6097562.139604799
0,ace,aarch64,ART,YCSB-C,1,6000000,1570.08
4,ace,cheri,CLHT,YCSB-C,1,5000000,318.02
0,ace,aarch64,btree,YCSB-C,1,8000000,1142.71
4,ace,aarch64,btree,YCSB-B,1,8000000,1151.8967854
1,ace,cheri,ART,YCSB-E,1,400000,56696.8196431
1,ace,cheri,skiplist,scan,1,1000000,60943.75
2,ace,aarch64,CLHT,read,1,5000000,253.77
4,ace,aarch64,linklist,YCSB-D,1,25000,4651589.937499999
0,ace,aarch64,CLHT,YCSB-C,4,1000000,217.85
1,ace,aarch64,ART,YCSB-E,1,400000,37219.59342875
0,ace,aarch64,btree,YCSB-E,1,8000000,1218.4264225349998
3,ace,aarch64,linklist,scan,1,10000,1101512.83
2,ace,cheri,skiplist,YCSB-E,1,5000000,15781.2003166
1,ace,aarch64,linklist,YCSB-C,1,25000,2648448.83
1,ace,cheri,btree,YCSB-D,1,8000000,1255.11682634
2,ace,aarch64,linklist,YCSB-B,1,10000,1298950.29513
1,ace,aarch64,skiplist,insert,1,1000000,18108.84
0,ace,cheri,skiplist,read,1,3000000,7803.72
4,ace,aarch64,linklist,YCSB-F,1,10000,1674346.4500166944
1,ace,aarch64,linklist,insert,1,5000000,5701.72
0,ace,cheri,linklist,YCSB-B,1,10000,1945340.3844750004
2,ace,cheri,CLHT,insert,1,1000000,25425.36
2,ace,cheri,btree,YCSB-A,1,8000000,1556.14575235875
4,ace,aarch64,linklist,read,1,25000,2578347.33
1,ace,aarch64,queue,queue_bench,4,100000000,432.247
1,ace,cheri,linklist,YCSB-B,1,10000,1997355.677212
2,ace,cheri,CLHT,insert,4,1000000,154373.44
