database,variant,benchmark,workload,metric_name,metric_value,unit,repetition
leveldb,release-static,ycsb,c_t1,throughput,130001.0,ops/sec,1
leveldb,release-static,ycsb,c_t1,latency_avg,6.660,us,1
leveldb,release-static,ycsb,d_t1,throughput,156721.0,ops/sec,1
leveldb,release-static,ycsb,d_t1,latency_avg,4.998,us,1
leveldb,release-static,ycsb,e_t1,throughput,3308.27,ops/sec,1
leveldb,release-static,ycsb,e_t1,latency_avg,238.373,us,1
leveldb,release-static,ycsb,f_t1,throughput,44929.2,ops/sec,1
leveldb,release-static,ycsb,f_t1,latency_avg,13.049,us,1
leveldb,release-cheri,ycsb,a_t1,throughput,39970.5,ops/sec,1
leveldb,release-cheri,ycsb,a_t1,latency_avg,21.517,us,1
leveldb,release-cheri,ycsb,b_t1,throughput,86132.5,ops/sec,1
leveldb,release-cheri,ycsb,b_t1,latency_avg,9.897,us,1
leveldb,release-cheri,ycsb,c_t1,throughput,86450.6,ops/sec,1
leveldb,release-cheri,ycsb,c_t1,latency_avg,10.040,us,1
leveldb,release-cheri,ycsb,d_t1,throughput,103511.0,ops/sec,1
leveldb,release-cheri,ycsb,d_t1,latency_avg,7.000,us,1
leveldb,release-cheri,ycsb,e_t1,throughput,1977.04,ops/sec,1
leveldb,release-cheri,ycsb,e_t1,latency_avg,409.169,us,1
leveldb,release-cheri,ycsb,f_t1,throughput,29738.3,ops/sec,1
leveldb,release-cheri,ycsb,f_t1,latency_avg,19.410,us,1
leveldb,release-dynamic,ycsb,a_t1,throughput,55221.1,ops/sec,2
leveldb,release-dynamic,ycsb,a_t1,latency_avg,16.558,us,2
leveldb,release-dynamic,ycsb,b_t1,throughput,156508.0,ops/sec,2
leveldb,release-dynamic,ycsb,b_t1,latency_avg,5.652,us,2
leveldb,release-dynamic,ycsb,c_t1,throughput,83260.1,ops/sec,2
leveldb,release-dynamic,ycsb,c_t1,latency_avg,10.760,us,2
leveldb,release-dynamic,ycsb,d_t1,throughput,219789.0,ops/sec,2
leveldb,release-dynamic,ycsb,d_t1,latency_avg,3.543,us,2
leveldb,release-dynamic,ycsb,e_t1,throughput,8577.76,ops/sec,2
leveldb,release-dynamic,ycsb,e_t1,latency_avg,100.959,us,2
leveldb,release-dynamic,ycsb,f_t1,throughput,48185.4,ops/sec,2
leveldb,release-dynamic,ycsb,f_t1,latency_avg,12.374,us,2
leveldb,release-mte,ycsb,a_t1,throughput,55859.7,ops/sec,2
leveldb,release-mte,ycsb,a_t1,latency_avg,16.293,us,2
leveldb,release-mte,ycsb,b_t1,throughput,168514.0,ops/sec,2
leveldb,release-mte,ycsb,b_t1,latency_avg,5.194,us,2
leveldb,release-mte,ycsb,c_t1,throughput,85605.7,ops/sec,2
leveldb,release-mte,ycsb,c_t1,latency_avg,10.320,us,2
leveldb,release-mte,ycsb,d_t1,throughput,223404.0,ops/sec,2
leveldb,release-mte,ycsb,d_t1,latency_avg,3.444,us,2
leveldb,release-mte,ycsb,e_t1,throughput,8472.47,ops/sec,2
leveldb,release-mte,ycsb,e_t1,latency_avg,102.476,us,2
leveldb,release-mte,ycsb,f_t1,throughput,46771.1,ops/sec,2
leveldb,release-mte,ycsb,f_t1,latency_avg,12.872,us,2
leveldb,release-static,ycsb,a_t1,throughput,55333.4,ops/sec,2
leveldb,release-static,ycsb,a_t1,latency_avg,15.592,us,2
leveldb,release-static,ycsb,b_t1,throughput,129696.0,ops/sec,2
leveldb,release-static,ycsb,b_t1,latency_avg,6.685,us,2
leveldb,release-static,ycsb,c_t1,throughput,128106.0,ops/sec,2
leveldb,release-static,ycsb,c_t1,latency_avg,6.770,us,2
leveldb,release-static,ycsb,d_t1,throughput,157334.0,ops/sec,2
leveldb,release-static,ycsb,d_t1,latency_avg,4.984,us,2
leveldb,release-static,ycsb,e_t1,throughput,3317.15,ops/sec,2
leveldb,release-static,ycsb,e_t1,latency_avg,237.667,us,2
leveldb,release-static,ycsb,f_t1,throughput,49201.9,ops/sec,2
leveldb,release-static,ycsb,f_t1,latency_avg,11.737,us,2
leveldb,release-cheri,ycsb,a_t1,throughput,39754.8,ops/sec,2
leveldb,release-cheri,ycsb,a_t1,latency_avg,21.454,us,2
leveldb,release-cheri,ycsb,b_t1,throughput,88030.4,ops/sec,2
leveldb,release-cheri,ycsb,b_t1,latency_avg,9.745,us,2
leveldb,release-cheri,ycsb,c_t1,throughput,86335.2,ops/sec,2
leveldb,release-cheri,ycsb,c_t1,latency_avg,10.040,us,2
leveldb,release-cheri,ycsb,d_t1,throughput,102661.0,ops/sec,2
leveldb,release-cheri,ycsb,d_t1,latency_avg,7.094,us,2
leveldb,release-cheri,ycsb,e_t1,throughput,2021.8,ops/sec,2
leveldb,release-cheri,ycsb,e_t1,latency_avg,390.729,us,2
leveldb,release-cheri,ycsb,f_t1,throughput,34211.0,ops/sec,2
leveldb,release-cheri,ycsb,f_t1,latency_avg,16.833,us,2
ladybug,release-dynamic,ldbc,q21,query_time,472.85566666666665,ms,0
ladybug,release-dynamic,ldbc,q20,query_time,473.93333333333334,ms,0
ladybug,release-dynamic,ldbc,q22,query_time,21.746,ms,0
ladybug,release-dynamic,ldbc,q19,query_time,222.33533333333332,ms,0
ladybug,release-dynamic,ldbc,q01,query_time,32.28766666666667,ms,0
ladybug,release-dynamic,ldbc,q02,query_time,24.466333333333335,ms,0
ladybug,release-dynamic,ldbc,SelectiveTwoHopJoin,query_time,40.48466666666667,ms,0
ladybug,release-dynamic,ldbc,q31,query_time,7.158333333333334,ms,0
ladybug,release-dynamic,ldbc,q30,query_time,231.808,ms,0
ladybug,release-dynamic,ldbc,q29,query_time,115.18666666666667,ms,0
ladybug,release-dynamic,ldbc,q36,query_time,63.873333333333335,ms,0
ladybug,release-dynamic,ldbc,q35,query_time,2.904666666666667,ms,0
ladybug,release-dynamic,ldbc,q13,query_time,264.736,ms,0
ladybug,release-dynamic,ldbc,q12,query_time,35.13733333333334,ms,0
ladybug,release-dynamic,ldbc,q11,query_time,40.153,ms,0
ladybug,release-dynamic,ldbc,q10,query_time,38.12800000000001,ms,0
ladybug,release-dynamic,ldbc,q09,query_time,155.92866666666666,ms,0
ladybug,release-dynamic,ldbc,q08,query_time,157.59,ms,0
ladybug,release-dynamic,ldbc,q07,query_time,115.08800000000001,ms,0
ladybug,release-dynamic,ldbc,q38,query_time,235.54733333333334,ms,0
ladybug,release-dynamic,ldbc,q39,query_time,3.3160000000000003,ms,0
ladybug,release-dynamic,ldbc,q37,query_time,59.349333333333334,ms,0
ladybug,release-dynamic,ldbc,q40,query_time,156.114,ms,0
ladybug,release-dynamic,ldbc,recursive-join-path,query_time,24380.956000000002,ms,0
ladybug,release-dynamic,ldbc,recursive-join-bidirection,query_time,103.08266666666667,ms,0
ladybug,release-dynamic,ldbc,recursive-join-trail,query_time,5503.652999999999,ms,0
ladybug,release-dynamic,ldbc,recursive-join-sparse,query_time,2.7609999999999997,ms,0
ladybug,release-dynamic,ldbc,recursive-join-dense,query_time,5444.812,ms,0
ladybug,release-dynamic,ldbc,q24,query_time,139.97299999999998,ms,0
ladybug,release-dynamic,ldbc,q28,query_time,3647.297666666667,ms,0
ladybug,release-dynamic,ldbc,q33,query_time,15.717999999999998,ms,0
ladybug,release-dynamic,ldbc,q32,query_time,2.2003333333333335,ms,0
ladybug,release-dynamic,ldbc,q34,query_time,1.1073333333333333,ms,0
ladybug,release-dynamic,ldbc,zonemap-node-null,query_time,15.475333333333333,ms,0
ladybug,release-dynamic,ldbc,zonemap-node-lhs-cast,query_time,12.126333333333333,ms,0
ladybug,release-dynamic,ldbc,zonemap-node,query_time,9.965000000000002,ms,0
ladybug,release-dynamic,ldbc,zonemap-rel,query_time,1080.9076666666667,ms,0
ladybug,release-dynamic,ldbc,q18,query_time,323.61133333333333,ms,0
ladybug,release-dynamic,ldbc,q17,query_time,87.238,ms,0
ladybug,release-dynamic,ldbc,q16,query_time,53.611,ms,0
ladybug,release-dynamic,ldbc,q15,query_time,13.138666666666666,ms,0
ladybug,release-dynamic,ldbc,q14,query_time,12.940666666666667,ms,0
ladybug,release-dynamic,ldbc,push-down-limit-into-distinct,query_time,2.0043333333333333,ms,0
ladybug,release-dynamic,ldbc,multi-rel-lookup,query_time,4.205333333333334,ms,0
ladybug,release-dynamic,ldbc,multi-rel-large-scan,query_time,527.7379999999999,ms,0
ladybug,release-dynamic,ldbc,multi-rel-small-scan,query_time,57.576666666666675,ms,0
ladybug,release-dynamic,ldbc,q25,query_time,24.377333333333336,ms,0
ladybug,release-dynamic,ldbc,q26,query_time,84.94266666666667,ms,0
ladybug,release-dynamic,ldbc,q27,query_time,226.87366666666665,ms,0
ladybug,release-dynamic,ldbc,q03,query_time,351.483,ms,0
ladybug,release-dynamic,ldbc,q06,query_time,236.51166666666666,ms,0
ladybug,release-dynamic,ldbc,q05,query_time,454.67800000000005,ms,0
ladybug,release-dynamic,ldbc,q04,query_time,366.53433333333334,ms,0
