size;seed;steps;sum;nano;
32768;1337;1;35184817324196;131100
32768;1337;2;17626614234502;18900
32768;1337;4;8826782324468;17300
32768;1337;8;4434017671041;9500
32768;1337;16;2179303195473;7800
32768;1337;32;1100565518158;6900
65536;1337;1;70429095177083;44100
65536;1337;2;35180076788912;33100
65536;1337;4;17630737619345;22900
65536;1337;8;8854572563750;16000
65536;1337;16;4339986245375;17800
65536;1337;32;2170999685169;15200
98304;1337;1;105612748558205;82700
98304;1337;2;52800349049298;49900
98304;1337;4;26482143920017;33500
98304;1337;8;13323565250479;27800
98304;1337;16;6560344967657;19000
98304;1337;32;3251916810293;23500
131072;1337;1;140711521296441;81000
131072;1337;2;70372152444487;41300
131072;1337;4;35257743866539;35000
131072;1337;8;17727315706548;15000
131072;1337;16;8770185294619;11300
131072;1337;32;4362806351494;11400
163840;1337;1;175964114832629;157400
163840;1337;2;88084674664198;94600
163840;1337;4;44109894110264;64000
163840;1337;8;22124912959260;48800
163840;1337;16;10960813050244;38200
163840;1337;32;5445659501539;191200
196608;1337;1;211223211412574;130100
196608;1337;2;105707479678314;57900
196608;1337;4;52889821226495;66500
196608;1337;8;26514218823272;117000
196608;1337;16;13152837705414;21900
196608;1337;32;6529623787587;13200
229376;1337;1;246283200571455;111200
229376;1337;2;123198785958533;71700
229376;1337;4;61619862687345;57200
229376;1337;8;30934335168529;49500
229376;1337;16;15387650353831;32000
229376;1337;32;7640614788887;48600
262144;1337;1;281477664831555;225700
262144;1337;2;140740134656340;141900
262144;1337;4;70421969364274;105500
262144;1337;8;35338371418849;97500
262144;1337;16;17610648635716;76400
262144;1337;32;8753854474265;123200
294912;1337;1;316545993459669;331000
294912;1337;2;158257461744179;183000
294912;1337;4;79126977797155;128000
294912;1337;8;39715759173746;130600
294912;1337;16;19822777889246;107900
294912;1337;32;9855721634765;105700
327680;1337;1;351813287384731;351000
327680;1337;2;175941761925143;239100
327680;1337;4;88090081987399;136400
327680;1337;8;44197101076940;121900
327680;1337;16;22070648528931;150800
327680;1337;32;10984249721744;88000
360448;1337;1;387103361415667;385800
360448;1337;2;193626141219960;238700
360448;1337;4;97023458764797;203300
360448;1337;8;48691591884391;156700
360448;1337;16;24305208992687;149800
360448;1337;32;12093005876973;110400
393216;1337;1;422370627165785;456200
393216;1337;2;211456525969856;269300
393216;1337;4;105910959586085;189700
393216;1337;8;53132205035197;165500
393216;1337;16;26561592048435;151400
393216;1337;32;13215857137186;109500
425984;1337;1;457469378693944;394000
425984;1337;2;229054557234130;195500
425984;1337;4;114720437856706;155500
425984;1337;8;57551325498908;153400
425984;1337;16;28767493420904;101300
425984;1337;32;14297054885852;79800
458752;1337;1;492567944511850;285300
458752;1337;2;246586198485955;165900
458752;1337;4;123462919605841;149700
458752;1337;8;61946021338575;115700
458752;1337;16;30950274910160;287100
458752;1337;32;15386498765700;147000
491520;1337;1;527816876694796;547100
491520;1337;2;264137106313313;224700
491520;1337;4;132203914965929;154900
491520;1337;8;66341026902874;162500
491520;1337;16;33131600698780;156700
491520;1337;32;16503473091103;198000
524288;1337;1;562925851718624;338300
524288;1337;2;281693599737077;190400
524288;1337;4;140996579431649;172300
524288;1337;8;70711495655421;162200
524288;1337;16;35312477186738;140200
524288;1337;32;17599778262508;160600
557056;1337;1;598159932696182;477100
557056;1337;2;299188570589878;327100
557056;1337;4;149791208075006;162100
557056;1337;8;75112249647394;175200
557056;1337;16;37503405710899;159900
557056;1337;32;18686396349500;124600
589824;1337;1;633508539433375;448300
589824;1337;2;316839404579996;223500
589824;1337;4;158564178886181;179700
589824;1337;8;79563631546160;200300
589824;1337;16;39744944897248;211600
589824;1337;32;19814815071938;152100
622592;1337;1;668692957453518;323600
622592;1337;2;334445394750897;313700
622592;1337;4;167377442331005;219100
622592;1337;8;83938455378407;151200
622592;1337;16;41955028356215;154200
622592;1337;32;20929092279893;148400
655360;1337;1;703727889207827;486600
655360;1337;2;351926855995699;400600
655360;1337;4;176069482822028;249900
655360;1337;8;88204224093876;169300
655360;1337;16;44077822429836;194200
655360;1337;32;21993649529998;157600
688128;1337;1;739040407338863;538900
688128;1337;2;369570105195147;228800
688128;1337;4;184986344848302;255900
688128;1337;8;92677770721735;187000
688128;1337;16;46321951192043;315200
688128;1337;32;23126122753180;127100
720896;1337;1;774240391726072;381300
720896;1337;2;387188524925675;229100
720896;1337;4;193731226230849;250900
